presence,x,y
1,477850.3940081056,477850.3940081056
1,473805.0362980049,473805.0362980049
1,473935.74783017166,473935.74783017166
1,473927.8000435424,473927.8000435424
1,473942.05351212545,473942.05351212545
1,473941.6265649098,473941.6265649098
1,483105.8186535417,483105.8186535417
1,478463.917852968,478463.917852968
1,478379.52137306315,478379.52137306315
1,478611.72789566533,478611.72789566533
1,478610.49946539133,478610.49946539133
1,473936.22267041006,473936.22267041006
1,473924.27037585236,473924.27037585236
1,474213.3968456884,474213.3968456884
1,479363.9909379603,479363.9909379603
0,475218.7421287408,475218.7421287408
0,475247.28708343505,475247.28708343505
0,475869.099312573,475869.099312573
0,475885.6590546241,475885.6590546241
0,475908.17497019056,475908.17497019056
1,478585.4695158758,478585.4695158758
1,478574.8926223567,478574.8926223567
1,477425.78782471176,477425.78782471176
1,477440.9323364348,477440.9323364348
1,477499.819534493,477499.819534493
1,477389.6014274843,477389.6014274843
1,474628.99081309827,474628.99081309827
1,474630.0076149341,474630.0076149341
1,474422.08479708,474422.08479708
1,477478.77439246536,477478.77439246536
1,477513.3398353445,477513.3398353445
1,477570.86480597564,477570.86480597564
1,476801.27912228974,476801.27912228974
1,476802.1962505757,476802.1962505757
1,477428.75449806434,477428.75449806434
1,478371.81527373043,478371.81527373043
1,477425.6587620743,477425.6587620743
1,481482.53785365005,481482.53785365005
1,481376.51791544474,481376.51791544474
1,481570.30887939944,481570.30887939944
1,481584.0160228107,481584.0160228107
1,477275.4203781877,477275.4203781877
1,477317.1021375858,477317.1021375858
1,475751.49456406187,475751.49456406187
1,481018.4563075403,481018.4563075403
1,481006.88058219757,481006.88058219757
1,483001.9389392441,483001.9389392441
1,482978.0377211727,482978.0377211727
1,482944.33077314484,482944.33077314484
0,475544.8119898051,475544.8119898051
1,477144.15242283215,477144.15242283215
1,477147.2746827637,477147.2746827637
1,478492.4277755169,478492.4277755169
1,478473.5886241326,478473.5886241326
0,475181.2697270016,475181.2697270016
0,475275.71956776606,475275.71956776606
0,475142.47782811645,475142.47782811645
0,475416.83212747955,475416.83212747955
0,475787.88507333945,475787.88507333945
1,478660.73439658724,478660.73439658724
1,478624.7535048676,478624.7535048676
1,477624.03495391214,477624.03495391214
1,477759.6660496523,477759.6660496523
1,477411.1011611173,477411.1011611173
