presence,id,left,top,right,bottom,row_index,col_index,y,x
1,3385,473609.9838,4434701.1748,473659.9838,4434651.1748,156,12,4434682.995644183,473626.6285363411
1,3923,473709.9838,4434701.1748,473759.9838,4434651.1748,156,14,4434680.632622334,473718.17875424074
1,4196,473759.9838,4434501.1748,473809.9838,4434451.1748,160,15,4434472.101051864,473805.0362980049
1,4460,473809.9838,4434751.1748,473859.9838,4434701.1748,155,16,4434738.965504536,473815.13016493677
1,4732,473859.9838,4434601.1748,473909.9838,4434551.1748,158,17,4434555.892415442,473908.58623277233
1,4998,473909.9838,4434751.1748,473959.9838,4434701.1748,155,18,4434716.18349083,473942.05351212545
1,4999,473909.9838,4434701.1748,473959.9838,4434651.1748,156,18,4434673.423085079,473935.74783017166
1,5000,473909.9838,4434651.1748,473959.9838,4434601.1748,157,18,4434643.37299155,473936.22267041006
1,5002,473909.9838,4434551.1748,473959.9838,4434501.1748,159,18,4434508.386394343,473942.599419476
1,6637,474209.9838,4433501.1748,474259.9838,4433451.1748,180,24,4433458.550195158,474213.3968456884
1,7443,474359.9838,4433551.1748,474409.9838,4433501.1748,179,27,4433520.038019075,474363.3408373441
1,7711,474409.9838,4433601.1748,474459.9838,4433551.1748,178,28,4433592.863385313,474441.3663683834
1,7712,474409.9838,4433551.1748,474459.9838,4433501.1748,179,28,4433539.150951147,474422.08479708
1,7992,474459.9838,4433001.1748,474509.9838,4432951.1748,190,29,4432955.58603606,474499.1788382662
1,8491,474559.9838,4434951.1748,474609.9838,4434901.1748,151,31,4434948.175268792,474595.6804700405
1,8760,474609.9838,4434951.1748,474659.9838,4434901.1748,151,32,4434924.013682226,474618.98817854776
1,8761,474609.9838,4434901.1748,474659.9838,4434851.1748,152,32,4434883.02753538,474649.44316266227
1,8762,474609.9838,4434851.1748,474659.9838,4434801.1748,153,32,4434834.324860887,474631.9861001168
1,8779,474609.9838,4434001.1748,474659.9838,4433951.1748,170,32,4433971.150249045,474628.99081309827
1,8780,474609.9838,4433951.1748,474659.9838,4433901.1748,171,32,4433940.724572319,474630.0076149341
1,9071,474659.9838,4432851.1748,474709.9838,4432801.1748,193,33,4432829.652915041,474662.21725387126
1,14667,475709.9838,4435501.1748,475759.9838,4435451.1748,140,54,4435485.359776298,475751.49456406187
1,14934,475759.9838,4435601.1748,475809.9838,4435551.1748,138,55,4435593.231597985,475796.25242747023
1,14936,475759.9838,4435501.1748,475809.9838,4435451.1748,140,55,4435493.355867507,475762.8185195394
1,23072,477259.9838,4432201.1748,477309.9838,4432151.1748,206,85,4432181.249980511,477275.4203781877
1,23075,477259.9838,4432051.1748,477309.9838,4432001.1748,209,85,4432042.812728132,477282.0972957941
1,23341,477309.9838,4432201.1748,477359.9838,4432151.1748,206,86,4432161.038719465,477317.1021375858
1,23367,477309.9838,4430901.1748,477359.9838,4430851.1748,232,86,4430851.828273326,477331.2685576143
1,23896,477409.9838,4431351.1748,477459.9838,4431301.1748,223,88,4431327.7317864625,477411.1011611173
1,23917,477409.9838,4430301.1748,477459.9838,4430251.1748,244,88,4430285.334824366,477437.9644626427
1,24184,477459.9838,4430401.1748,477509.9838,4430351.1748,242,89,4430367.017759638,477478.77439246536
1,24454,477509.9838,4430351.1748,477559.9838,4430301.1748,243,90,4430321.9817628935,477513.3398353445
1,24723,477559.9838,4430351.1748,477609.9838,4430301.1748,243,91,4430339.832164964,477570.86480597564
1,24976,477609.9838,4431151.1748,477659.9838,4431101.1748,227,92,4431106.224421812,477624.03495391214
1,25520,477709.9838,4430851.1748,477759.9838,4430801.1748,233,94,4430806.008856527,477759.6660496523
1,25780,477759.9838,4431301.1748,477809.9838,4431251.1748,224,95,4431267.014031685,477775.4076897797
1,27670,478109.9838,4430951.1748,478159.9838,4430901.1748,231,102,4430937.282891157,478142.80632632365
1,28872,478359.9838,4438101.1748,478409.9838,4438051.1748,88,107,4438053.247656953,478371.81527373043
1,29005,478359.9838,4431451.1748,478409.9838,4431401.1748,221,107,4431448.425053821,478379.52137306315
1,29281,478409.9838,4431101.1748,478459.9838,4431051.1748,228,108,4431094.69929243,478432.34006438084
1,29542,478459.9838,4431501.1748,478509.9838,4431451.1748,220,109,4431465.7060797,478471.0892297028
1,29543,478459.9838,4431451.1748,478509.9838,4431401.1748,221,109,4431440.971470132,478463.917852968
1,29547,478459.9838,4431251.1748,478509.9838,4431201.1748,225,109,4431208.953522666,478473.5886241326
1,29548,478459.9838,4431201.1748,478509.9838,4431151.1748,226,109,4431197.315754781,478492.4277755169
1,30089,478559.9838,4431051.1748,478609.9838,4431001.1748,229,111,4431033.981537656,478570.079415496
1,30347,478609.9838,4431601.1748,478659.9838,4431551.1748,218,112,4431595.339668628,478624.7535048676
1,30365,478609.9838,4430701.1748,478659.9838,4430651.1748,236,112,4430656.884346731,478611.72789566533
1,30627,478659.9838,4431051.1748,478709.9838,4431001.1748,229,113,4431008.4013724495,478660.73439658724
1,32504,479009.9838,4431351.1748,479059.9838,4431301.1748,223,120,4431305.524829852,479014.21854766156
1,34354,479359.9838,4433001.1748,479409.9838,4432951.1748,190,127,4432988.277598562,479363.9909379603
1,34355,479359.9838,4432951.1748,479409.9838,4432901.1748,191,127,4432923.22165531,479360.22919974505
