Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.14054E-10,0.000000021,0.000000076,1,0,0
3.33336E-8,0.000003355,0.000011837,0.99875,0,0
5.38655E-8,0.000013388,0.000019128,0.99625,0,0
6.33536E-8,0.00002521,0.000022498,0.99375,0,0
1.19528E-7,0.000056125,0.000042445,0.99,0,0
1.74766E-7,0.000115521,0.000062059,0.985,0,0
3.47763E-7,0.000257741,0.000123483,0.97875,0,0
5.05918E-7,0.000523767,0.00017963,0.97125,0,0
6.86109E-7,0.001065258,0.000243593,0.96,0,0
1.25188E-6,0.002585451,0.000444371,0.94,0,0
3.26385E-6,0.005280654,0.001157721,0.925,0,0
5.48972E-6,0.010376763,0.001945722,0.91,0,0
8.88311E-6,0.025275366,0.00314466,0.88375,0,0
1.69097E-5,0.050988257,0.005969144,0.85875,0,0
3.44535E-5,0.100418369,0.012087279,0.83375,0,0
5.62736E-5,0.202418194,0.019592417,0.805,0,0
7.62881E-5,0.301167226,0.026376947,0.78625,0,0
9.47164E-5,0.40575902,0.032541245,0.77125,0,0
1.1775E-4,0.503036842,0.040137117,0.76,0,0
1.32296E-4,0.604129888,0.044873072,0.75,0,0
1.40928E-4,0.713876893,0.047661096,0.74,0,0
1.57368E-4,0.759254644,0.052926857,0.73625,0,0
1.70407E-4,0.808629898,0.057062006,0.7325,0,0
1.80244E-4,0.914080763,0.060157988,0.725,0,0
1.94398E-4,1.009449975,0.064576715,0.71875,0,0
2.01432E-4,1.109262951,0.066757547,0.7125,0,0
2.10225E-4,1.213077683,0.069469258,0.70625,0,0
2.19376E-4,1.319954267,0.072274642,0.7,0,0
2.29085E-4,1.410356293,0.075232681,0.695,0,0
2.36391E-4,1.503521983,0.077446021,0.69,0,0
2.49995E-4,1.77170107,0.08153964,0.67625,0,0
2.69516E-4,2.006269854,0.087350528,0.665,0,0
2.90379E-4,2.261630063,0.093480171,0.65375,0,0
3.01419E-4,2.500138672,0.09669051,0.64375,0,0
3.15688E-4,2.778920933,0.100806396,0.6325,0,0
3.32701E-4,3.006190283,0.105665089,0.62375,0,0
3.41713E-4,3.277041871,0.108217401,0.61375,0,0
3.61554E-4,3.523196677,0.113785883,0.605,0,0
3.74697E-4,3.780548804,0.117436427,0.59625,0,0
3.87809E-4,4.009829217,0.121048605,0.58875,0,0
4.09013E-4,4.287516313,0.126827672,0.58,0,0
4.16425E-4,4.535178637,0.128829864,0.5725,0.020408163,0
4.26195E-4,4.787305289,0.131454985,0.565,0.020408163,0
4.40334E-4,5.004785229,0.135226279,0.55875,0.020408163,0
4.52575E-4,5.273426107,0.138465065,0.55125,0.020408163,0
4.66682E-4,5.503682047,0.142167589,0.545,0.020408163,0
4.85369E-4,5.790038535,0.147023356,0.5375,0.040816327,0
5.00152E-4,6.036910264,0.150825846,0.53125,0.040816327,0
5.24832E-4,6.295759598,0.157098972,0.525,0.040816327,0
5.34421E-4,6.508456027,0.159511556,0.52,0.040816327,0
5.4307E-4,6.778481388,0.16167559,0.51375,0.040816327,0
5.49377E-4,7.052009861,0.163246682,0.5075,0.040816327,0
5.71226E-4,7.277808353,0.168644367,0.5025,0.040816327,0
5.90203E-4,7.510981305,0.173276019,0.4975,0.06122449,0
6.08146E-4,7.810800503,0.177608396,0.49125,0.06122449,0
