background,x,y,nitrogen,sand,fla,rivers,roads,aspect,BIO16
background,473234.9838,4434126.1748,9.31890964508057,17.7314414978027,874.099060058594,112.737205505371,315.654083251953,276.203735351562,290.858062744141
background,473284.9838,4433576.1748,19.4281482696533,37.0850257873535,577.93896484375,254.9140625,116.88395690918,176.832412719727,288.678619384766
background,473384.9838,4434776.1748,18.9491176605225,40.1400489807129,2878.29711914062,22.9369716644287,346.166778564453,93.7188034057617,293.773376464844
background,473434.9838,4436976.1748,13.1570310592651,24.0728168487549,8053.349609375,414.069000244141,10.3429975509644,280.614379882812,306.006195068359
background,473484.9838,4435426.1748,7.90736293792725,16.8225021362305,1921.14807128906,138.35188293457,301.934753417969,280.699676513672,297.149627685547
background,473484.9838,4435476.1748,7.94343757629395,16.796106338501,2141.32153320312,89.1211318969727,266.748687744141,276.009307861328,296.483428955078
background,473534.9838,4434576.1748,19.5481948852539,39.9660568237305,2407.69702148438,104.137634277344,286.894409179688,243.579406738281,294.851226806641
background,473584.9838,4433576.1748,20.6104297637939,36.931568145752,24600.154296875,36.3982810974121,39.831298828125,233.890884399414,290.739318847656
background,473584.9838,4434026.1748,19.6963481903076,38.9287109375,1356.7119140625,56.0898056030273,48.5302925109863,162.360443115234,295.579376220703
background,473584.9838,4435426.1748,15.0969333648682,32.1179389953613,1665.62133789062,158.945358276367,236.239700317383,270.765014648438,300.00537109375
background,473584.9838,4437226.1748,17.3717613220215,28.1815280914307,1487.10864257812,522.202514648438,115.135612487793,269.684783935547,311.897186279297
background,473634.9838,4434626.1748,19.2344398498535,40.1230773925781,2833.44140625,178.035110473633,186.155639648438,224.329147338867,296.566528320312
background,473684.9838,4433276.1748,19.2194271087646,39.0231552124023,2017.27917480469,189.383148193359,160.837203979492,262.335266113281,291.921722412109
background,473684.9838,4435176.1748,18.1096134185791,39.1441955566406,5320.6845703125,34.196704864502,372.710662841797,293.072601318359,298.441162109375
background,473734.9838,4434426.1748,19.8050022125244,40.2431144714355,6576.1728515625,144.549224853516,52.0916061401367,213.894668579102,299.626159667969
background,473784.9838,4433276.1748,19.3336753845215,40.504093170166,1328.40466308594,285.348083496094,74.9934997558594,265.670135498047,294.201049804688
background,473784.9838,4433676.1748,19.7976131439209,37.1831665039062,7052.8212890625,188.541244506836,152.387832641602,248.118225097656,294.976043701172
background,473834.9838,4434926.1748,18.6020374298096,38.6429977416992,1319.10522460938,302.483947753906,165.374938964844,216.052017211914,299.576202392578
background,473934.9838,4432776.1748,18.2691822052002,38.9315185546875,2019.39685058594,543.756103515625,221.585861206055,207.615493774414,292.594573974609
background,473934.9838,4433226.1748,19.2564487457275,41.746940612793,1087.68225097656,443.040405273438,35.1649475097656,247.603942871094,298.430419921875
background,473934.9838,4435726.1748,18.4866771697998,38.2498207092285,224.158493041992,235.484619140625,77.6340866088867,225.754272460938,307.363311767578
background,473984.9838,4432826.1748,18.2013683319092,39.0819511413574,2495.00634765625,547.824340820312,201.831466674805,212.767883300781,294.142486572266
background,473984.9838,4433876.1748,19.9114303588867,38.7380409240723,1067.45837402344,102.86727142334,251.61247253418,314.700225830078,297.964782714844
background,473984.9838,4434576.1748,18.4133129119873,39.8596725463867,3070.80151367188,248.506164550781,181.730590820312,230.700927734375,302.069854736328
background,473984.9838,4436076.1748,18.7302703857422,36.6431465148926,1004.81793212891,25.0428791046143,20.0501441955566,157.344192504883,304.910095214844
background,473984.9838,4437476.1748,20.9028491973877,32.5328483581543,3472.72802734375,336.477355957031,97.1284713745117,228.859802246094,316.480407714844
background,474034.9838,4435826.1748,18.3148975372314,38.1680335998535,921.4755859375,227.230072021484,121.01961517334,258.346527099609,307.943725585938
background,474034.9838,4437876.1748,12.421142578125,20.7978935241699,3391.16552734375,610.270385742188,281.463470458984,326.765655517578,316.576507568359
background,474084.9838,4433076.1748,18.7120227813721,40.8467559814453,1369.31555175781,635.764038085938,82.3595199584961,224.514404296875,298.047302246094
background,474084.9838,4434226.1748,18.4083442687988,39.710075378418,1598.30700683594,38.556957244873,135.471252441406,201.705917358398,299.951141357422
background,474084.9838,4435626.1748,18.5004920959473,38.2991333007812,7443.87451171875,154.806686401367,12.0905199050903,251.998336791992,306.464630126953
background,474134.9838,4435926.1748,18.0257568359375,37.7471656799316,1842.05590820312,180.939926147461,3.16589188575745,222.838821411133,307.385986328125
background,474134.9838,4436126.1748,18.8882732391357,36.5127983093262,25322.95703125,6.92097854614258,3.16847825050354,219.626663208008,304.479217529297
background,474134.9838,4439276.1748,22.9655628204346,31.9199447631836,240.699905395508,432.469970703125,400.100769042969,73.1292419433594,318.922943115234
background,474184.9838,4434376.1748,17.6995487213135,39.2182388305664,1989.49401855469,206.999771118164,184.269607543945,177.53434753418,301.20361328125
background,474184.9838,4439126.1748,23.4668006896973,31.5983619689941,1144.625,530.314086914062,255.370529174805,50.7215957641602,318.832336425781
background,474184.9838,4439976.1748,21.184398651123,30.1547203063965,3304.18383789062,33.0477714538574,252.438674926758,276.870819091797,316.611358642578
background,474234.9838,4436876.1748,19.8498992919922,34.2125778198242,2534.72607421875,203.160446166992,58.1828117370605,240.737640380859,314.032440185547
background,474234.9838,4437676.1748,19.1731281280518,29.4969291687012,1009.14947509766,352.692474365234,164.669967651367,249.927947998047,318.963043212891
background,474284.9838,4433826.1748,19.4685821533203,40.2719345092773,342.105926513672,234.478530883789,26.791561126709,287.482086181641,298.767211914062
background,474284.9838,4435726.1748,18.2460346221924,37.3383560180664,2462.48022460938,325.822967529297,121.036445617676,266.327606201172,308.490661621094
background,474284.9838,4439926.1748,21.4862575531006,30.2736797332764,4336.74609375,124.454627990723,245.084884643555,261.918823242188,317.984466552734
background,474334.9838,4434026.1748,19.0625267028809,40.1869697570801,8140.23779296875,66.4175109863281,117.683715820312,310.886199951172,297.901428222656
background,474334.9838,4439076.1748,22.0257549285889,31.835973739624,3954.61108398438,621.205444335938,126.078857421875,315.463409423828,318.695922851562
background,474384.9838,4433776.1748,19.0673522949219,40.3373146057129,1498.24780273438,305.403472900391,84.8247756958008,217.539169311523,298.562805175781
background,474384.9838,4434526.1748,17.5212955474854,39.0700721740723,2649.24169921875,172.221954345703,42.4936943054199,171.578903198242,301.591674804688
background,474384.9838,4436426.1748,18.4039039611816,36.4689903259277,47445.68359375,265.028228759766,194.327102661133,194.325607299805,307.742828369141
background,474434.9838,4433726.1748,19.28786277771,40.3227272033691,1823.109375,371.237121582031,147.296676635742,207.726058959961,298.059844970703
background,474434.9838,4437076.1748,20.9183616638184,32.5285034179688,3871.64501953125,265.870788574219,138.330749511719,238.778564453125,316.055053710938
background,474434.9838,4437126.1748,21.2701644897461,32.0213775634766,2860.89086914062,232.790374755859,95.5897369384766,240.785415649414,316.509857177734
