x,y,Phytophthora_PA3_RUN2 logistic values
473234.9838,4434126.1748,0.0151944915
473284.9838,4433426.1748,0.4087258
473284.9838,4433576.1748,0.3201998
473384.9838,4433376.1748,0.2815728
473434.9838,4436626.1748,0.08886719
473434.9838,4436976.1748,0.013006106
473484.9838,4435426.1748,0.043355577
473484.9838,4435476.1748,0.050518207
473534.9838,4434426.1748,0.66710675
473534.9838,4437476.1748,0.003721272
473584.9838,4433576.1748,0.2903161
473584.9838,4434026.1748,0.4897182
473634.9838,4434626.1748,0.616538
473684.9838,4433276.1748,0.406811
473684.9838,4435176.1748,0.10273437
473684.9838,4436076.1748,0.14960636
473734.9838,4433626.1748,0.38094118
473734.9838,4434426.1748,0.8109504
473784.9838,4437676.1748,3.6540712E-4
473834.9838,4434926.1748,0.3424393
473834.9838,4435026.1748,0.12981838
473884.9838,4436776.1748,0.03160764
473934.9838,4433226.1748,0.28078097
473934.9838,4435726.1748,0.12731752
473984.9838,4432826.1748,0.3972207
473984.9838,4433876.1748,0.15225238
473984.9838,4434576.1748,0.45751247
473984.9838,4436076.1748,0.09845795
473984.9838,4437476.1748,0.030216496
474034.9838,4435826.1748,0.10379017
474034.9838,4437876.1748,5.083355E-4
474084.9838,4433076.1748,0.6255052
474084.9838,4434226.1748,0.39867058
474084.9838,4435626.1748,0.2551599
474134.9838,4435926.1748,0.12753502
474134.9838,4436126.1748,0.05973023
474134.9838,4439276.1748,0.008980915
474184.9838,4434076.1748,0.3969302
474184.9838,4434376.1748,0.28437185
474184.9838,4434476.1748,0.26550907
474184.9838,4439126.1748,0.009883016
474234.9838,4436876.1748,0.031338852
474234.9838,4437676.1748,0.0011793431
474234.9838,4439026.1748,0.016266625
474284.9838,4433826.1748,0.38840947
474284.9838,4439926.1748,0.0044126743
474334.9838,4434026.1748,0.49435398
474384.9838,4432726.1748,0.26673767
474384.9838,4433776.1748,0.69076556
474384.9838,4434526.1748,0.31021452
474384.9838,4434576.1748,0.28973648
474384.9838,4435526.1748,0.10017871
474434.9838,4437076.1748,0.024390165
474434.9838,4437126.1748,0.020490801
474434.9838,4437876.1748,0.014949387
474484.9838,4437326.1748,0.022053892
474484.9838,4440376.1748,0.0038127713
474534.9838,4435926.1748,0.06833146
474534.9838,4436426.1748,0.08139366
474534.9838,4436576.1748,0.09534969
474584.9838,4433776.1748,0.5924472
474584.9838,4437526.1748,0.036295723
474634.9838,4433876.1748,0.7360916
474634.9838,4436426.1748,0.07282888
474634.9838,4436526.1748,0.061952967
474634.9838,4438926.1748,0.0077683916
474634.9838,4439076.1748,0.005761377
474684.9838,4435376.1748,0.13810162
