Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.59241E-7,0.000045924,0.000226389,1,0,0
4.78563E-7,0.00009378,0.000235912,0.999,0,0
5.78588E-7,0.000151639,0.000285206,0.998,0,0
8.17926E-7,0.000299162,0.000403136,0.996,0,0
1.0198E-6,0.000588387,0.000502584,0.993,0,0
1.112E-6,0.001019613,0.000547999,0.989,0,0
1.77164E-6,0.002536993,0.000872789,0.979,0,0
2.63008E-6,0.005105168,0.001295146,0.967,0,0
3.93237E-6,0.010150055,0.001935203,0.952,0,0
6.68473E-6,0.025218465,0.003285245,0.923,0,0
1.04379E-5,0.050693188,0.005120324,0.894,0,0
1.93102E-5,0.100384417,0.009431564,0.862,0,0
4.15373E-5,0.201102885,0.020069947,0.829,0,0
6.40678E-5,0.303137198,0.03062286,0.81,0,0
8.10458E-5,0.405268675,0.038426053,0.796,0,0
9.17568E-5,0.502710242,0.043284664,0.785,0,0
1.06507E-4,0.601155947,0.049895443,0.775,0,0
1.13778E-4,0.711171607,0.053120912,0.765,0,0
1.16547E-4,0.757385834,0.054343559,0.761,0,0
1.19062E-4,0.8045641,0.05545102,0.757,0,0
1.26678E-4,0.902596152,0.058789798,0.749,0,0
1.35448E-4,1.008835873,0.062604799,0.741,0,0
1.44997E-4,1.106397096,0.066723938,0.734,0.013513514,0
1.53206E-4,1.211728415,0.070236066,0.727,0.013513514,0
1.58967E-4,1.30550989,0.07268519,0.721,0.013513514,0
1.64774E-4,1.402950291,0.075141113,0.715,0.013513514,0
1.69751E-4,1.503665681,0.077235283,0.709,0.013513514,0
1.86367E-4,1.753771565,0.084159044,0.695,0.013513514,0
1.99229E-4,2.004465593,0.089447837,0.682,0.027027027,0
2.20537E-4,2.25770435,0.098076156,0.67,0.027027027,0
2.36288E-4,2.509096959,0.104350239,0.659,0.027027027,0
2.4819E-4,2.751899052,0.109033324,0.649,0.040540541,0
2.72347E-4,3.014771246,0.118389103,0.639,0.040540541,0
2.84776E-4,3.266351437,0.123127,0.63,0.040540541,0
3.07955E-4,3.503597581,0.13182735,0.622,0.040540541,0
3.21715E-4,3.755146498,0.13691154,0.614,0.040540541,0
3.32086E-4,4.016906575,0.140703977,0.606,0.040540541,0
3.44549E-4,4.254810032,0.145217591,0.599,0.040540541,0
3.55083E-4,4.534994309,0.148995769,0.591,0.040540541,0
3.63455E-4,4.750754056,0.15197508,0.585,0.040540541,0
3.79567E-4,5.010170733,0.157649996,0.578,0.040540541,0
3.84681E-4,5.277797643,0.159435529,0.571,0.040540541,0
3.8776E-4,5.510024803,0.160506528,0.565,0.040540541,0
4.01028E-4,5.788137882,0.165091954,0.558,0.067567568,0
4.1443E-4,6.031817391,0.169673146,0.552,0.067567568,0
4.2736E-4,6.285344551,0.174045614,0.546,0.067567568,0
4.34716E-4,6.50182778,0.176512521,0.541,0.067567568,0
4.45437E-4,6.766462235,0.1800816,0.535,0.067567568,0
4.60748E-4,7.039140931,0.185125863,0.529,0.081081081,0
4.69083E-4,7.271811488,0.187845666,0.524,0.081081081,0
4.79613E-4,7.509123206,0.191255981,0.519,0.081081081,0
4.8556E-4,7.750637161,0.193169203,0.514,0.081081081,0
4.9625E-4,8.044975121,0.196586178,0.508,0.081081081,0
5.1271E-4,8.297257737,0.2017908,0.503,0.094594595,0
5.26311E-4,8.507037018,0.206040988,0.499,0.108108108,0
5.38186E-4,8.773829826,0.209714844,0.494,0.121621622,0
5.4935E-4,9.046052698,0.213137814,0.489,0.121621622,0
5.63485E-4,9.269434332,0.217429653,0.485,0.121621622,0
5.90902E-4,9.558579472,0.225621887,0.48,0.121621622,0
6.02524E-4,9.798204174,0.229043108,0.476,0.121621622,0
6.11936E-4,10.041894953,0.231791795,0.472,0.121621622,0
6.18384E-4,10.288409727,0.233663382,0.468,0.121621622,0
6.37099E-4,10.542259634,0.239044723,0.464,0.121621622,0
6.43589E-4,10.798578385,0.240893126,0.46,0.121621622,0
6.55492E-4,11.058182375,0.244260063,0.456,0.121621622,0
6.61107E-4,11.256277302,0.245837956,0.453,0.121621622,0
6.70991E-4,11.524043571,0.248599701,0.449,0.121621622,0
6.76783E-4,11.793783476,0.250208804,0.445,0.121621622,0
6.85863E-4,12.067021961,0.252717261,0.441,0.121621622,0
6.92417E-4,12.273991039,0.254517541,0.438,0.121621622,0
7.03514E-4,12.554341835,0.257546106,0.434,0.121621622,0
7.06051E-4,12.765942172,0.258234937,0.431,0.121621622,0
7.12417E-4,13.050203729,0.259958053,0.427,0.121621622,0
7.155E-4,13.264502369,0.260789649,0.424,0.121621622,0
7.27749E-4,13.554043887,0.264075338,0.42,0.121621622,0
7.31449E-4,13.773112793,0.265062026,0.417,0.121621622,0
7.41369E-4,14.068656774,0.267694668,0.413,0.135135135,0
7.44792E-4,14.292044589,0.268598607,0.41,0.135135135,0
7.50754E-4,14.516911578,0.270167716,0.407,0.135135135,0
7.59955E-4,14.819900585,0.272576231,0.403,0.135135135,0
7.85626E-4,15.052589188,0.279213079,0.4,0.148648649,0
7.91506E-4,15.289441156,0.280716148,0.397,0.148648649,0
7.98943E-4,15.528731704,0.282608353,0.394,0.148648649,0
8.05425E-4,15.769641808,0.284249477,0.391,0.148648649,0
8.10724E-4,16.012290354,0.285585603,0.388,0.148648649,0
8.16548E-4,16.256846268,0.287048247,0.385,0.148648649,0
8.24757E-4,16.503855537,0.289099553,0.382,0.162162162,0
8.29678E-4,16.752431206,0.290323842,0.379,0.162162162,0
8.33988E-4,17.002064594,0.291392399,0.376,0.162162162,0
8.39453E-4,17.25324658,0.292742909,0.373,0.162162162,0
8.42812E-4,17.505833389,0.293570436,0.37,0.162162162,0
8.48075E-4,17.759737232,0.294863205,0.367,0.162162162,0
8.51903E-4,18.014883266,0.295800442,0.364,0.162162162,0
8.63218E-4,18.272706383,0.29855636,0.361,0.162162162,0
8.74475E-4,18.533972759,0.301276771,0.358,0.162162162,0
8.77325E-4,18.79665891,0.301962078,0.355,0.162162162,0
8.80167E-4,19.06062078,0.302644101,0.352,0.189189189,0
8.88379E-4,19.325766793,0.304607714,0.349,0.189189189,0
8.90446E-4,19.503827537,0.305100193,0.347,0.189189189,0
8.98392E-4,19.772491,0.306986988,0.344,0.202702703,0
9.15493E-4,20.045787603,0.311013163,0.341,0.202702703,0
9.26599E-4,20.322825509,0.313602814,0.338,0.202702703,0
9.36536E-4,20.509322616,0.315903575,0.336,0.202702703,0
9.54789E-4,20.794388882,0.320089825,0.333,0.202702703,0
9.65978E-4,21.083677448,0.322630698,0.33,0.202702703,0
9.74004E-4,21.278244195,0.324441592,0.328,0.202702703,0
9.80313E-4,21.571299638,0.325858306,0.325,0.202702703,0
9.86237E-4,21.768438884,0.327183185,0.323,0.202702703,0
9.99349E-4,22.066900795,0.330097202,0.32,0.202702703,0
1.00405E-3,22.267358532,0.331136651,0.318,0.202702703,0
1.00827E-3,22.569407041,0.332066479,0.315,0.202702703,0
1.01727E-3,22.771979572,0.334038604,0.313,0.202702703,0
1.02527E-3,23.07917189,0.335783199,0.31,0.202702703,0
1.02661E-3,23.284386527,0.336075208,0.308,0.202702703,0
1.03934E-3,23.594035415,0.338830946,0.305,0.202702703,0
1.05694E-3,23.804057994,0.34260186,0.303,0.202702703,0
1.06199E-3,24.016138193,0.343677647,0.301,0.202702703,0
1.07819E-3,24.338791771,0.347099964,0.298,0.202702703,0
1.09686E-3,24.556431548,0.35100152,0.296,0.22972973,0
1.10473E-3,24.776780504,0.352630748,0.294,0.22972973,0
1.11154E-3,25.109647719,0.354036274,0.291,0.22972973,0
1.11845E-3,25.33319487,0.355453339,0.289,0.22972973,0
1.1253E-3,25.557833263,0.356853121,0.287,0.22972973,0
1.12974E-3,25.783368788,0.357757648,0.285,0.22972973,0
1.13372E-3,26.010034097,0.358566617,0.283,0.22972973,0
1.14631E-3,26.352854043,0.36111065,0.28,0.243243243,0
1.15159E-3,26.583159982,0.362170824,0.278,0.243243243,0
1.16143E-3,26.815347519,0.364139206,0.276,0.243243243,0
1.16247E-3,27.047750222,0.364347008,0.274,0.243243243,0
1.1721E-3,27.281576654,0.366260231,0.272,0.243243243,0
1.17611E-3,27.516642311,0.367052428,0.27,0.243243243,0
1.18125E-3,27.752767322,0.368065925,0.268,0.243243243,0
1.19456E-3,28.1094624,0.370675675,0.265,0.243243243,0
1.19951E-3,28.349179926,0.371641091,0.263,0.243243243,0
1.21253E-3,28.590674604,0.37416582,0.261,0.243243243,0
1.21773E-3,28.813929806,0.375169556,0.259,0.243243243,0
1.22559E-3,29.078974384,0.37667799,0.257,0.256756757,0
1.25664E-3,29.328537394,0.382569678,0.255,0.27027027,0
1.26157E-3,29.580807022,0.383495939,0.253,0.27027027,0
1.26702E-3,29.833682838,0.384515397,0.251,0.27027027,0
1.27026E-3,30.08770083,0.385120586,0.249,0.283783784,0
1.28528E-3,30.344358328,0.387906936,0.247,0.283783784,0
1.29224E-3,30.602240635,0.389189452,0.245,0.283783784,0
1.29699E-3,30.754182913,0.390062703,0.243,0.283783784,0
1.32415E-3,31.126802407,0.395003766,0.241,0.297297297,0
1.32803E-3,31.259605471,0.395704109,0.24,0.297297297,0
1.34454E-3,31.528185193,0.398661668,0.238,0.297297297,0
1.3479E-3,31.797436051,0.399260383,0.236,0.297297297,0
1.3551E-3,32.068429442,0.40053872,0.234,0.297297297,0
1.35858E-3,32.339872011,0.401155758,0.232,0.297297297,0
1.36285E-3,32.612057986,0.401910046,0.23,0.297297297,0
1.36495E-3,32.884918915,0.402279845,0.228,0.297297297,0
1.36511E-3,33.021429643,0.402307102,0.227,0.297297297,0
1.3776E-3,33.296798482,0.404499692,0.225,0.297297297,0
1.38598E-3,33.573914589,0.405960522,0.223,0.297297297,0
