Predictor variable,Categorical,Sample average
BIO06,false,5.313827068574967
BIO3,false,39.09759226152973
BIO4,false,569.3569473758821
aspect,false,185.09306335449222
bkd,false,1.3028951652588387
clay,false,24.816993897961037
fla,false,3331.439670685799
green,false,0.11500167966850346
rivers,false,235.3734270834154
roads,false,115.56603411705271
sand,false,38.944437826833415
silt,false,36.23693367742723
slope,false,5.199519839017623
soc,false,21.16190485800466
tpi,false,0.06510828837992688
twi,false,8.466476086647278
