background,x,y,green,BIO03,BIO06,wo,rivers,fla,soc,roads
background,473284.9838,4433976.1748,0.0873690620064735,39.0396766662598,5.63336420059204,1,30.3976955413818,2306.99291992188,18.9638690948486,233.721572875977
background,473334.9838,4434026.1748,0.0877353996038437,38.8383674621582,5.65107536315918,1,98.631477355957,1684.21215820312,19.9002590179443,187.533248901367
background,473384.9838,4435076.1748,0.0996362939476967,38.554988861084,5.6312689781189,1,17.1264457702637,158.846527099609,22.0872611999512,451.828765869141
background,473434.9838,4433876.1748,0.104577139019966,38.9104385375977,5.63911437988281,1,180.691375732422,1766.64599609375,22.2986640930176,138.96501159668
background,473434.9838,4434626.1748,0.0922002494335175,38.8205337524414,5.63462448120117,1,8.00545310974121,639.704895019531,21.2441501617432,336.257049560547
background,473434.9838,4434826.1748,0.103549607098103,38.4458312988281,5.65572500228882,1,47.829418182373,2302.23828125,21.2760963439941,298.798736572266
background,473434.9838,4436826.1748,0.0962927713990211,38.2277336120605,5.61937856674194,1,264.116821289062,4588.541015625,24.8729915618896,16.0986938476562
background,473534.9838,4435076.1748,0.0829678699374199,38.3568687438965,5.64095258712769,1,45.8266105651855,4580.181640625,22.9989795684814,350.482635498047
background,473534.9838,4435676.1748,0.0874231532216072,38.4377899169922,5.62338018417358,1,13.1631727218628,9046.2646484375,15.4370412826538,103.233779907227
background,473584.9838,4434176.1748,0.107865624129772,38.6724967956543,5.65703678131104,1,99.1476364135742,746.596984863281,21.9656238555908,194.175430297852
background,473584.9838,4435226.1748,0.0921154990792274,38.1101760864258,5.65615034103394,1,36.7684745788574,736.622802734375,21.5034923553467,415.208770751953
background,473634.9838,4435926.1748,0.0865394324064255,38.5605735778809,5.61987781524658,1,55.4630508422852,2152.95532226562,24.8480644226074,4.59399318695068
background,473684.9838,4437526.1748,0.110961847007275,37.4101676940918,5.5627236366272,1,606.457763671875,2071.28100585938,23.559419631958,173.036392211914
background,473734.9838,4436126.1748,0.0911847874522209,38.4569511413574,5.62498426437378,1,71.2794494628906,729.428833007812,25.0176124572754,98.7209777832031
background,473734.9838,4436176.1748,0.0877695679664612,38.4351959228516,5.62580060958862,1,87.4945068359375,1745.42651367188,24.571964263916,141.530532836914
background,473784.9838,4435176.1748,0.094064399600029,38.0810508728027,5.64774131774902,1,51.7929458618164,900.886901855469,26.0320835113525,272.725860595703
background,473784.9838,4436126.1748,0.0921516790986061,38.3796882629395,5.62768983840942,1,75.5248565673828,627.12548828125,24.7611846923828,134.713714599609
background,473834.9838,4434126.1748,0.103631652891636,38.5061531066895,5.65840768814087,1,143.83349609375,927.651916503906,22.0973281860352,142.372650146484
background,473834.9838,4435776.1748,0.0947543159127235,38.0939064025879,5.63066005706787,1,274.585540771484,1258.42163085938,25.7575073242188,15.7038173675537
background,473834.9838,4436376.1748,0.087787926197052,38.1580276489258,5.60926294326782,1,135.516067504883,2017.93322753906,23.802640914917,188.241912841797
background,473834.9838,4436426.1748,0.0915021672844887,38.1298599243164,5.61050415039062,1,149.497787475586,3403.78076171875,23.9218807220459,190.174560546875
background,473834.9838,4437126.1748,0.101547867059708,37.535270690918,5.58386087417603,1,265.987213134766,3126.5703125,21.9938011169434,125.908233642578
background,473834.9838,4439026.1748,0.0956842079758644,37.1006088256836,5.33235788345337,1,242.825286865234,1125.61364746094,28.1048812866211,545.752624511719
background,473884.9838,4437076.1748,0.105174288153648,37.599193572998,5.58163452148438,1,195.900497436523,1715.06652832031,22.4727935791016,190.284637451172
background,473884.9838,4437326.1748,0.101514987647533,37.3876953125,5.5586462020874,1,332.941925048828,6979.54345703125,23.493371963501,51.8088569641113
background,473884.9838,4439026.1748,0.108250997960567,37.0831069946289,5.32929992675781,1,282.630889892578,1504.60473632812,28.1969718933105,496.195404052734
background,473934.9838,4434626.1748,0.128954216837883,38.2691764831543,5.64824962615967,1,276.249542236328,5794.8271484375,18.753698348999,112.255485534668
