Predictor variable,Categorical,Sample average
BIO03,false,39.23343841552734
BIO06,false,5.262860794067382
BIO15,false,53.37694976806642
aspect,false,193.61620697021488
bkd,false,1.3118474102020263
blue2023,false,0.11566157251596444
dndvi,false,-0.020541299202013773
fla,false,4859.375787963867
nir2021,false,0.23811438024044043
rivers,false,222.66875232696526
roads,false,113.64646823883056
slope,false,4.436947487592697
soc,false,21.18125701904297
texture,false,4.511920242309571
tpi,false,0.04418802428990564
twi,false,8.867664871215817
wo,false,1.0
