x,y,Phytophthora_PA3_allRun logistic values
473334.9838,4433526.1748,0.0
473384.9838,4433426.1748,0.0
473384.9838,4433526.1748,0.0
473384.9838,4436726.1748,0.0
473584.9838,4434426.1748,0.0
473584.9838,4434476.1748,0.0
473634.9838,4436676.1748,0.0
473634.9838,4436976.1748,0.0
473684.9838,4434726.1748,0.0
473684.9838,4437426.1748,0.0
473734.9838,4434726.1748,0.0
473734.9838,4434926.1748,0.0
473734.9838,4436776.1748,0.0
473784.9838,4433326.1748,0.0
473784.9838,4435026.1748,0.0
473784.9838,4439176.1748,0.0
473834.9838,4434426.1748,0.0
473834.9838,4436776.1748,0.0
473834.9838,4436926.1748,0.0
473834.9838,4437026.1748,0.0
473834.9838,4439476.1748,0.0
473884.9838,4432876.1748,0.0
473884.9838,4436776.1748,0.0
473934.9838,4435826.1748,0.0
473934.9838,4436726.1748,0.0
473934.9838,4437126.1748,0.0
473984.9838,4433026.1748,0.0
473984.9838,4433326.1748,0.0
473984.9838,4433526.1748,0.0
473984.9838,4437576.1748,0.0
473984.9838,4437676.1748,0.0
473984.9838,4439176.1748,0.0
474034.9838,4433026.1748,0.0
474034.9838,4433226.1748,0.0
474084.9838,4433126.1748,0.0
474084.9838,4433776.1748,0.0
474084.9838,4434076.1748,0.0
474084.9838,4434876.1748,0.0
474084.9838,4437176.1748,0.0
474084.9838,4437476.1748,0.0
474084.9838,4439026.1748,0.0
474134.9838,4435376.1748,0.0
474134.9838,4436076.1748,0.0
474134.9838,4437076.1748,0.0
474134.9838,4438826.1748,0.0
474184.9838,4433176.1748,0.0
474184.9838,4434026.1748,0.0
474184.9838,4434576.1748,0.0
474184.9838,4434876.1748,0.0
474184.9838,4435876.1748,0.0
474184.9838,4437726.1748,0.0
474234.9838,4434726.1748,0.0
474234.9838,4436976.1748,0.0
474234.9838,4437326.1748,0.0
474234.9838,4439426.1748,0.0
474284.9838,4434876.1748,0.0
474284.9838,4436976.1748,0.0
474334.9838,4433176.1748,0.0
474334.9838,4437076.1748,0.0
474334.9838,4437326.1748,0.0
474334.9838,4439776.1748,0.0
474384.9838,4434826.1748,0.0
474484.9838,4433276.1748,0.0
474484.9838,4434676.1748,0.0
474484.9838,4436126.1748,0.0
474484.9838,4440276.1748,0.0
474534.9838,4432976.1748,0.0
474534.9838,4434976.1748,0.0
474534.9838,4435126.1748,0.0
474534.9838,4436726.1748,0.0
474534.9838,4437326.1748,0.0
474584.9838,4436826.1748,0.0
474584.9838,4440226.1748,0.0
474634.9838,4432876.1748,0.0
474634.9838,4434176.1748,0.0
474634.9838,4434726.1748,0.0
474684.9838,4436626.1748,0.0
474684.9838,4438976.1748,0.0
474734.9838,4432826.1748,0.0
474784.9838,4433576.1748,0.0
474784.9838,4438026.1748,0.0
474784.9838,4438276.1748,0.0
474784.9838,4439426.1748,0.0
474834.9838,4434626.1748,0.0
474834.9838,4437776.1748,0.0
474834.9838,4439976.1748,0.0
474884.9838,4434626.1748,0.0
474884.9838,4436226.1748,0.0
474884.9838,4436876.1748,0.0
474884.9838,4438876.1748,0.0
474934.9838,4433826.1748,0.0
474934.9838,4436576.1748,0.0
474934.9838,4438776.1748,0.0
474934.9838,4439376.1748,0.0
474934.9838,4440576.1748,0.0
474984.9838,4432626.1748,0.0
474984.9838,4433076.1748,0.0
474984.9838,4434176.1748,0.0
474984.9838,4435576.1748,0.0
474984.9838,4438276.1748,0.0
474984.9838,4440976.1748,0.0
475034.9838,4432526.1748,0.0
475034.9838,4432626.1748,0.0
475034.9838,4434476.1748,0.0
475034.9838,4434626.1748,0.0
475034.9838,4437176.1748,0.0
475034.9838,4440276.1748,0.0
475034.9838,4440526.1748,0.0
475034.9838,4441576.1748,0.0
475084.9838,4432526.1748,0.0
475084.9838,4432576.1748,0.0
475084.9838,4433276.1748,0.0
475084.9838,4433326.1748,0.0
475084.9838,4434476.1748,0.0
475084.9838,4435126.1748,0.0
475084.9838,4435426.1748,0.0
475084.9838,4436526.1748,0.0
475084.9838,4436576.1748,0.0
475084.9838,4438376.1748,0.0
475134.9838,4433426.1748,0.0
475134.9838,4435676.1748,0.0
475134.9838,4437076.1748,0.0
475134.9838,4441576.1748,0.0
475184.9838,4435026.1748,0.0
475184.9838,4437726.1748,0.0
475184.9838,4438526.1748,0.0
475184.9838,4438626.1748,0.0
475184.9838,4441026.1748,0.0
475184.9838,4441576.1748,0.0
475234.9838,4431076.1748,0.0
475234.9838,4431276.1748,0.0
475234.9838,4431476.1748,0.0
475234.9838,4437376.1748,0.0
475234.9838,4442176.1748,0.0
475284.9838,4435026.1748,0.0
475284.9838,4436426.1748,0.0
475284.9838,4436526.1748,0.0
475284.9838,4439126.1748,0.0
475284.9838,4440426.1748,0.0
475334.9838,4430426.1748,0.0
475334.9838,4435476.1748,0.0
475334.9838,4436476.1748,0.0
475334.9838,4436676.1748,0.0
475384.9838,4430926.1748,0.0
475384.9838,4431726.1748,0.0
475384.9838,4433426.1748,0.0
475384.9838,4435426.1748,0.0
475384.9838,4438426.1748,0.0
475384.9838,4442226.1748,0.0
475484.9838,4433376.1748,0.0
475484.9838,4435176.1748,0.0
475484.9838,4436676.1748,0.0
475484.9838,4437226.1748,0.0
475484.9838,4437776.1748,0.0
475484.9838,4440826.1748,0.0
475484.9838,4440976.1748,0.0
475534.9838,4431826.1748,0.0
475534.9838,4432676.1748,0.0
475534.9838,4433626.1748,0.0
475534.9838,4433976.1748,0.0
475534.9838,4437876.1748,0.0
475534.9838,4438076.1748,0.0
475584.9838,4431226.1748,0.0
475584.9838,4432526.1748,0.0
475584.9838,4432676.1748,0.0
475584.9838,4433426.1748,0.0
475584.9838,4439876.1748,0.0
475584.9838,4440276.1748,0.0
475584.9838,4440426.1748,0.0
475584.9838,4440826.1748,0.0
475634.9838,4432126.1748,0.0
475634.9838,4433926.1748,0.0
475634.9838,4436626.1748,0.0
475634.9838,4436726.1748,0.0
475634.9838,4441926.1748,0.0
475684.9838,4430076.1748,0.0
475684.9838,4430276.1748,0.0
475684.9838,4433026.1748,0.0
475684.9838,4435426.1748,0.0
475684.9838,4437476.1748,0.0
475684.9838,4438076.1748,0.0
475734.9838,4434176.1748,0.0
475734.9838,4434676.1748,0.0
475734.9838,4438476.1748,0.0
475734.9838,4439326.1748,0.0
475784.9838,4431876.1748,0.0
475784.9838,4432776.1748,0.0
475784.9838,4434176.1748,0.0
475784.9838,4435726.1748,0.0
475784.9838,4435926.1748,0.0
475784.9838,4440326.1748,0.0
475834.9838,4436776.1748,0.0
475834.9838,4437476.1748,0.0
475834.9838,4438776.1748,0.0
475884.9838,4430726.1748,0.0
475884.9838,4432676.1748,0.0
475884.9838,4433926.1748,0.0
475884.9838,4435526.1748,0.0
475884.9838,4436276.1748,0.0
475884.9838,4436826.1748,0.0
475884.9838,4436876.1748,0.0
475884.9838,4441126.1748,0.0
475934.9838,4431426.1748,0.0
475934.9838,4431526.1748,0.0
475934.9838,4432476.1748,0.0
475934.9838,4433176.1748,0.0
475934.9838,4436576.1748,0.0
475934.9838,4439626.1748,0.0
